Date,REER
6/7/18,64.6053
6/6/18,66.2307
6/5/18,67.3333
6/4/18,67.783
6/1/18,67.5631
5/31/18,68.1205
5/30/18,67.7661
5/29/18,68.2486
5/25/18,69.3282
5/24/18,69.5723
5/23/18,69.6332
5/22/18,69.5186
5/21/18,68.2241
5/18/18,67.7925
5/17/18,68.1995
5/16/18,68.6357
5/15/18,69.0215
5/14/18,69.3023
5/11/18,69.6482
5/10/18,70.4562
5/9/18,69.7617
5/8/18,70.1178
5/7/18,70.2893
5/4/18,70.7315
5/3/18,70.2138
5/2/18,70.1704
5/1/18,70.5404
4/30/18,70.812
4/27/18,71.1307
4/26/18,70.5622
4/25/18,70.1538
4/24/18,70.7273
4/23/18,71.2802
4/20/18,71.6395
4/19/18,71.5736
4/18/18,71.9077
4/17/18,71.6285
4/16/18,71.0661
4/13/18,71.4389
4/12/18,71.9406
4/11/18,71.596
4/10/18,71.2792
4/9/18,71.8751
4/6/18,72.573
4/5/18,73.5716
4/4/18,72.8663
4/3/18,73.4632
4/2/18,73.5103
3/30/18,73.7001
3/29/18,73.4416
3/28/18,73.0208
3/27/18,73.1071
3/26/18,73.5896
3/23/18,73.7325
3/22/18,74.0982
3/21/18,74.4529
3/20/18,74.3417
3/19/18,74.4025
3/16/18,74.42
3/15/18,74.4993
3/14/18,74.7772
3/13/18,74.9833
3/12/18,74.9408
3/9/18,75.2297
3/8/18,75.0858
3/7/18,75.4698
3/6/18,75.6832
3/5/18,75.2718
3/2/18,75.2485
3/1/18,75.7641
2/28/18,75.5553
2/27/18,75.4355
2/26/18,75.4388
2/23/18,75.463
2/22/18,75.108
2/21/18,74.9771
2/20/18,75.2417
2/16/18,75.486
2/15/18,75.1249
2/14/18,75.0043
2/13/18,74.1625
2/12/18,74.3297
2/9/18,74.0949
2/8/18,74.6124
2/7/18,74.7329
2/6/18,74.9427
2/5/18,75.2555
2/2/18,75.5973
2/1/18,76.5359
1/31/18,76.6978
1/30/18,76.4966
1/29/18,77.1672
1/26/18,77.2441
1/25/18,77.1824
1/24/18,76.5038
1/23/18,75.9469
1/22/18,76.6974
1/19/18,76.5994
1/18/18,76.3515
1/17/18,76.2926
1/16/18,76.1904
1/12/18,76.6381
1/11/18,76.7365
1/10/18,76.6222
1/9/18,76.5459
1/8/18,76.8119
1/5/18,76.7017
1/4/18,76.6285
1/3/18,76.2791
1/2/18,75.756
12/29/17,74.891
12/28/17,75.4182
12/27/17,75.4604
12/26/17,75.0884
12/22/17,74.9701
12/21/17,75.2971
12/20/17,75.5143
12/19/17,75.469
12/18/17,75.7981
12/15/17,75.192
12/14/17,74.5985
12/13/17,75.4905
12/12/17,75.1161
12/11/17,75.7245
12/8/17,75.4803
12/7/17,75.8055
12/6/17,76.9355
12/5/17,77.014
12/4/17,76.5347
12/1/17,76.2141
11/30/17,75.9833
11/29/17,77.0205
11/28/17,77.5176
11/27/17,76.9752
11/24/17,77.0117
11/22/17,77.0511
11/21/17,77.1112
11/20/17,76.8714
11/17/17,76.5513
11/16/17,76.4218
11/15/17,75.5982
11/14/17,75.9016
11/13/17,76.3527
11/10/17,76.7027
11/9/17,77.225
11/8/17,77.1991
11/7/17,76.8748
11/6/17,76.7288
11/3/17,76.0359
11/2/17,76.7437
11/1/17,76.8374
10/31/17,76.7699
10/30/17,77.1469
10/27/17,76.9589
10/26/17,77.1447
10/25/17,77.0192
10/24/17,77.0953
10/23/17,77.8816
10/20/17,78.4514
10/19/17,78.5316
10/18/17,78.566
10/17/17,78.7004
10/16/17,78.6941
10/13/17,78.8456
10/12/17,78.5335
10/11/17,78.6926
10/10/17,78.5089
10/6/17,79.292
10/5/17,79.6651
10/4/17,79.9008
10/3/17,79.421
10/2/17,79.0986
9/29/17,78.8282
9/28/17,78.3661
9/27/17,78.2044
9/26/17,78.6132
9/25/17,78.7914
9/22/17,79.0256
9/21/17,78.7459
9/20/17,78.8887
9/19/17,78.7441
9/18/17,78.8203
9/15/17,78.7051
9/14/17,78.7606
9/13/17,78.5738
9/12/17,79.126
9/11/17,79.643
9/8/17,79.2969
9/7/17,79.1739
9/6/17,79.2717
9/5/17,79.0053
9/1/17,78.9915
8/31/17,78.8063
8/30/17,78.4413
8/29/17,78.0884
8/28/17,78.3905
8/25/17,78.9089
8/24/17,79.2307
8/23/17,78.9887
8/22/17,79.1025
8/21/17,79.3531
8/18/17,79.2987
8/17/17,79.0927
8/16/17,79.2077
8/15/17,78.3642
8/14/17,78.7125
8/11/17,79.1228
8/10/17,79.5381
8/9/17,79.6979
8/8/17,80.2606
8/7/17,80.3243
8/4/17,80.5845
8/3/17,80.2319
8/2/17,80.335
8/1/17,80.5105
7/31/17,80.0034
7/28/17,79.9967
7/27/17,79.7929
7/26/17,79.7876
7/25/17,79.4822
7/24/17,80.0009
7/21/17,80.6709
7/20/17,80.2326
7/19/17,80.0142
7/18/17,79.82
7/17/17,79.4752
7/14/17,79.346
7/13/17,78.9335
7/12/17,78.643
7/11/17,78.2194
7/10/17,77.9335
7/7/17,77.421
7/6/17,76.9918
7/5/17,76.7507
7/3/17,76.868
6/30/17,76.48
6/29/17,76.4524
6/28/17,76.7128
6/27/17,76.3388
6/26/17,76.6778
6/23/17,76.2474
6/22/17,76.2953
6/21/17,76.4248
6/20/17,76.228
6/19/17,77.0407
6/16/17,76.8859
6/15/17,77.3638
6/14/17,76.8399
6/13/17,76.3078
6/12/17,76.5204
6/9/17,77.2197
6/8/17,77.1248
6/7/17,77.1636
6/6/17,77.0638
6/5/17,77.0226
6/2/17,78.2503
6/1/17,78.2971
5/31/17,78.3273
5/30/17,78.0123
5/26/17,78.2615
5/25/17,77.5623
5/24/17,78.0374
5/23/17,78.0066
5/22/17,77.5024
5/19/17,78.0185
5/18/17,75.7753
5/17/17,82.3752
5/16/17,82.8158
5/15/17,82.6005
5/12/17,82.2542
5/11/17,81.7436
5/10/17,81.6792
5/9/17,81.0941
5/8/17,80.3942
5/5/17,80.7927
5/4/17,80.5093
5/3/17,81.3718
5/2/17,80.8637
5/1/17,80.665
4/28/17,80.3537
4/27/17,80.5017
4/26/17,80.2289
4/25/17,80.7898
4/24/17,81.8967
4/21/17,81.5232
4/20/17,81.3848
4/19/17,81.6941
4/18/17,82.5709
4/17/17,82.5347
4/14/17,81.513
4/13/17,81.8764
4/12/17,81.5647
4/11/17,81.7242
4/10/17,81.9167
4/7/17,82.3432
4/6/17,82.7617
4/5/17,83.1496
4/4/17,82.5708
4/3/17,82.4774
3/31/17,81.4552
3/30/17,82.2189
3/29/17,82.2865
3/28/17,81.9118
3/27/17,82.0747
3/24/17,82.419
3/23/17,82.0508
3/22/17,83.3574
3/21/17,83.3524
3/20/17,83.6972
3/17/17,83.0597
3/16/17,82.7322
3/15/17,82.1681
3/14/17,82.2065
3/13/17,82.4501
3/10/17,82.3514
3/9/17,82.162
3/8/17,82.6648
3/7/17,83.2691
3/6/17,83.2582
3/3/17,82.9559
3/2/17,83.1849
3/1/17,83.6751
2/28/17,83.3052
2/27/17,83.2158
2/24/17,83.1941
2/23/17,84.4448
2/22/17,84.3694
2/21/17,84.033
2/17/17,83.7644
2/16/17,84.2157
2/15/17,84.832
2/14/17,83.4929
2/13/17,83.4738
2/10/17,83.368
2/9/17,82.9434
2/8/17,83.1682
2/7/17,83.1242
2/6/17,83.0564
2/3/17,82.9662
2/2/17,82.8991
2/1/17,82.3917
1/31/17,82.468
1/30/17,83.6596
1/27/17,82.7364
1/26/17,81.84
1/25/17,82.1579
1/24/17,82.1005
1/23/17,82.1936
1/20/17,82.0129
1/19/17,81.8333
1/18/17,81.0147
1/17/17,81.2577
1/13/17,81.7727
1/12/17,82.1731
1/11/17,82.3765
1/10/17,82.2568
1/9/17,82.3852
1/6/17,81.6804
1/5/17,81.8229
1/4/17,81.9677
1/3/17,81.2809
12/30/16,80.7955
12/29/16,81.1177
12/28/16,80.3955
12/27/16,80.3487
12/23/16,80.5307
12/22/16,79.4825
12/21/16,79.0336
12/20/16,78.4164
12/19/16,78.0624
12/16/16,77.8404
12/15/16,77.8283
12/14/16,78.2709
12/13/16,78.4478
12/12/16,78.0317
12/9/16,77.8761
12/8/16,77.3676
12/7/16,76.5282
12/6/16,76.2365
12/5/16,76.0014
12/2/16,75.5903
12/1/16,75.4117
11/30/16,77.4903
11/29/16,76.8965
11/28/16,77.3086
11/25/16,76.6579
11/23/16,76.8224
11/22/16,77.7294
11/21/16,77.8406
11/18/16,77.1206
11/17/16,76.2682
11/16/16,76.0261
11/15/16,75.596
11/14/16,75.5069
11/11/16,75.668
11/10/16,76.57
11/9/16,79.5517
11/8/16,80.1236
11/7/16,79.7545
11/4/16,78.5717
11/3/16,78.5699
11/2/16,78.5681
11/1/16,78.7634
10/31/16,80.4493
10/28/16,80.2791
10/27/16,81.2463
10/26/16,81.5715
10/25/16,81.8751
10/24/16,81.6915
10/21/16,80.9029
10/20/16,80.775
10/19/16,80.1477
10/18/16,80.111
10/17/16,79.6908
10/14/16,79.6485
10/13/16,79.4782
10/12/16,79.6192
10/11/16,79.2847
10/7/16,78.4831
10/6/16,78.4895
10/5/16,78.2178
10/4/16,78.1627
10/3/16,78.0817
9/30/16,77.8732
9/29/16,78.2452
9/28/16,77.8055
9/27/16,77.9323
9/26/16,78.0581
9/23/16,78.235
9/22/16,78.5618
9/21/16,78.1102
9/20/16,77.738
9/19/16,77.7765
9/16/16,76.9382
9/15/16,75.922
9/14/16,76.0622
9/13/16,76.3609
9/12/16,77.1177
9/9/16,77.3657
9/8/16,78.831
9/7/16,78.7645
9/6/16,78.1423
9/2/16,77.8724
9/1/16,78.0412
8/31/16,77.938
8/30/16,78.055
8/29/16,78.1131
8/26/16,78.5495
8/25/16,78.052
8/24/16,78.1162
8/23/16,78.2115
8/22/16,78.2567
8/19/16,78.15
8/18/16,77.8148
8/17/16,78.0806
8/16/16,79.0414
8/15/16,79.4845
8/12/16,79.5265
8/11/16,80.355
8/10/16,80.6226
8/9/16,80.7966
8/8/16,79.6773
8/5/16,79.6387
8/4/16,79.0588
8/3/16,77.6892
8/2/16,77.6762
8/1/16,77.5012
7/29/16,78.2007
7/28/16,77.6759
7/27/16,77.6286
7/26/16,77.9598
7/25/16,77.6221
7/22/16,77.5298
7/21/16,77.8864
7/20/16,78.3691
7/19/16,77.7529
7/18/16,78.0966
7/15/16,77.4197
7/14/16,78.1078
7/13/16,76.8341
7/12/16,77.3096
7/11/16,76.5971
7/8/16,77.0026
7/7/16,75.7689
7/6/16,76.2886
7/5/16,76.917
7/1/16,77.9363
6/30/16,79.0361
6/29/16,77.929
6/28/16,76.7191
6/27/16,74.6085
6/24/16,74.4219
6/23/16,74.2599
6/22/16,73.8467
6/21/16,73.2871
6/20/16,73.3842
6/17/16,72.8585
6/16/16,71.7624
6/15/16,72.0196
6/14/16,71.6784
6/13/16,72.2059
6/10/16,72.7464
6/9/16,73.3387
6/8/16,73.4718
6/7/16,71.8211
6/6/16,70.9958
6/3/16,70.7
6/2/16,69.9196
6/1/16,69.8435
5/31/16,69.8262
5/27/16,69.584
5/26/16,70.2225
5/25/16,69.7612
5/24/16,70.9227
5/23/16,70.4415
5/20/16,71.1468
5/19/16,69.9558
5/18/16,71.0842
5/17/16,71.6056
5/16/16,71.4734
5/13/16,71.3996
5/12/16,71.4072
5/11/16,71.9023
5/10/16,71.8026
5/9/16,70.1142
5/6/16,70.5469
5/5/16,70.4452
5/4/16,70.2238
5/3/16,69.3391
5/2/16,70.4964
4/29/16,71.4161
4/28/16,70.9596
4/27/16,70.1447
4/26/16,70.3645
4/25/16,69.9539
4/22/16,69.3349
4/21/16,70.0552
4/20/16,69.6121
4/19/16,69.6086
4/18/16,68.6508
4/15/16,70.0198
4/14/16,70.7192
4/13/16,69.628
4/12/16,69.5777
4/11/16,70.3068
4/8/16,68.2279
4/7/16,66.8763
4/6/16,67.7786
4/5/16,67.6283
4/4/16,69.0186
4/1/16,70.0252
3/31/16,69.7122
3/30/16,68.5743
3/29/16,68.286
3/28/16,68.8013
3/25/16,67.9608
3/24/16,67.6334
3/23/16,68.0388
3/22/16,69.3553
3/21/16,68.9962
3/18/16,68.8338
