Input_Date,Current_account
1/1/2021,-0.4
3/31/2018,-0.4
12/31/2017,-0.48
9/30/2017,-0.62
6/30/2017,-0.72
3/31/2017,-1.03
12/31/2016,-1.29
9/30/2016,-1.4
6/30/2016,-1.81
3/31/2016,-2.48
12/31/2015,-3.19
9/30/2015,-3.88
6/30/2015,-4.19
3/31/2015,-4.37
12/31/2014,-4.3
9/30/2014,-3.81
6/30/2014,-3.61
3/31/2014,-3.33
12/31/2013,-3.05
9/30/2013,-3.18
6/30/2013,-3.06
3/31/2013,-3.29
12/31/2012,-3.04
9/30/2012,-2.91
6/30/2012,-3.01
3/31/2012,-2.8
12/31/2011,-2.95
9/30/2011,-2.93
6/30/2011,-3.04
3/31/2011,-3.31
12/31/2010,-3.42
9/30/2010,-3.18
6/30/2010,-2.66
3/31/2010,-1.99
12/31/2009,-1.5
9/30/2009,-1.27
6/30/2009,-1.21
3/31/2009,-1.42
12/31/2008,-1.65
9/30/2008,-1.42
6/30/2008,-1.04
3/31/2008,-0.53
12/31/2007,0.13
9/30/2007,0.54
6/30/2007,1.1
3/31/2007,1.07
12/31/2006,1.22
9/30/2006,1.25
6/30/2006,1.14
3/31/2006,1.34
12/31/2005,1.53
9/30/2005,1.51
6/30/2005,1.66
3/31/2005,1.83
12/31/2004,1.77
9/30/2004,1.57
6/30/2004,1.31
3/31/2004,0.94
12/31/2003,0.72
9/30/2003,0.65
6/30/2003,0.3
3/31/2003,-0.62
12/31/2002,-1.2
9/30/2002,-2.19
6/30/2002,-3.28
3/31/2002,-3.55
12/31/2001,-4.1
9/30/2001,-4.39
6/30/2001,-4.28
3/31/2001,-4.17
12/31/2000,-3.73
9/30/2000,-3.6
6/30/2000,-3.82
3/31/2000,-3.86
12/31/1999,-4.26
9/30/1999,-4.31
6/30/1999,-4.46
3/31/1999,-4.17
12/31/1998,-3.89
9/30/1998,-3.74
6/30/1998,-3.55
3/31/1998,-3.61
12/31/1997,-3.46
9/30/1997,-3.35
6/30/1997,-3.22
3/31/1997,-2.86
12/31/1996,-2.78
9/30/1996,-2.11
6/30/1996,-1.75
3/31/1996,-2.07
12/31/1995,-2.38
1/1/1900,-2.38
